"HtmlFile","Href","ResolvedTarget","Exists"
"toys\a-z\index.html","../../items/hop-hop-police-grin-action-figure-nycc-20-951.html","D:\github\ron-english-toys\items\hop-hop-police-grin-action-figure-nycc-20-951.html","False"
"toys\a-z\index.html","../../items/iron-skin-grin-440.html","D:\github\ron-english-toys\items\iron-skin-grin-440.html","False"
"toys\a-z\index.html","../../items/jewsus-circus-sideshow-327.html","D:\github\ron-english-toys\items\jewsus-circus-sideshow-327.html","False"
"toys\a-z\index.html","../../items/little-bigfoot-screen-print-652.html","D:\github\ron-english-toys\items\little-bigfoot-screen-print-652.html","False"
"toys\a-z\index.html","../../items/mc-super-hero-439.html","D:\github\ron-english-toys\items\mc-super-hero-439.html","False"
"toys\a-z\index.html","../../items/money-print-1-860.html","D:\github\ron-english-toys\items\money-print-1-860.html","False"
"toys\a-z\index.html","../../items/money-print-2-32.html","D:\github\ron-english-toys\items\money-print-2-32.html","False"
"toys\a-z\index.html","../../items/mousemask-murphy-in-airplane-limited-edition-of-30-1073.html","D:\github\ron-english-toys\items\mousemask-murphy-in-airplane-limited-edition-of-30-1073.html","False"
"toys\a-z\index.html","../../items/Mousezilla - Green &amp; Yellow-1029.html","D:\github\ron-english-toys\items\Mousezilla - Green &amp; Yellow-1029.html","False"
"toys\a-z\index.html","../../items/obese-alien-411.html","D:\github\ron-english-toys\items\obese-alien-411.html","False"
"toys\a-z\index.html","../../items/old-chuck-578.html","D:\github\ron-english-toys\items\old-chuck-578.html","False"
